arm	inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
screen	ALAXZYHFVBSJKZ-UHFFFAOYSA-N	N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2	chembl_phase2	CHEMBL254193	CC BY-SA 3.0	2026-09-25	269.31	0.383	2	4	87.37	1	20	35	3	0.214	0	0	0	
screen	XIIOFHFUYBLOLW-UHFFFAOYSA-N	COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1	chembl_approved	CHEMBL4559134	CC BY-SA 3.0	2026-09-25	525.61	3.284	1	9	112.04	8	39	70	7	0.379	0	1	0	
screen	QSXXLDDWVCEBFP-UHFFFAOYSA-N	CCOCn1cnc2c1c(=O)n(CCCCC(C)(C)O)c(=O)n2C	chembl_phase2	CHEMBL2104934	CC BY-SA 3.0	2026-09-25	338.41	0.832	1	5	91.28	8	24	50	2	0.688	0	0	0	
screen	NDTYTMIUWGWIMO-SNVBAGLBSA-N	C=C(C)[C@@H]1CC=C(CO)CC1	chembl_phase2	CHEMBL236687	CC BY-SA 3.0	2026-09-25	152.24	2.281	1	1	20.23	2	11	27	1	0.6	0	0	1	
screen	WAAVMZLJRXYRMA-UHFFFAOYSA-N	CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O	chembl_phase2	CHEMBL8846	CC BY-SA 3.0	2026-09-25	316.47	5.28	1	3	37.3	2	22	46	2	0.421	0	1	0	
screen	HYBAKUMPISVZQP-DEOSSOPVSA-N	N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1	chembl_phase1	CHEMBL4650218	CC BY-SA 3.0	2026-09-25	555.61	4.888	1	7	113.5	9	41	71	6	0.355	0	1	0	chembl_phase2:CHEMBL4518483
screen	WWRKIQZKFGMESZ-SFUJAXRZSA-N	CN(C)C(=O)N1C[C@@H]2C[C@@](C)(NCC(=O)N3C[C@@H](F)C[C@H]3C#N)C[C@@H]2C1	chembl_phase2	CHEMBL4297430	CC BY-SA 3.0	2026-09-25	365.45	0.821	1	4	79.68	3	26	54	3	0.833	0	0	0	chembl_phase2:CHEMBL4300558
screen	UMILHIMHKXVDGH-UHFFFAOYSA-N	C(COCCOCC1CO1)OCCOCC1CO1	chembl_phase2	CHEMBL460287	CC BY-SA 3.0	2026-09-25	262.3	-0.15	0	6	61.98	13	18	40	2	1.0	0	0	0	
screen	ROHFNLRQFUQHCH-YFKPBYRVSA-N	CC(C)C[C@H](N)C(=O)O	chembl_phase3	CHEMBL291962	CC BY-SA 3.0	2026-09-25	131.18	0.444	2	2	63.32	3	9	22	0	0.833	0	0	1	
screen	UCQFSGCWHRTMGG-UHFFFAOYSA-N	N=C(N)n1cccn1	chembl_phase2	CHEMBL503356	CC BY-SA 3.0	2026-09-25	110.12	-0.375	2	2	67.69	0	8	14	1	0.0	0	0	1	
screen	APVPOHHVBBYQAV-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCC(=O)NS(=O)(=O)c1ccc(N)cc1	chembl_phase2	CHEMBL2107508	CC BY-SA 3.0	2026-09-25	438.68	6.335	2	4	89.26	18	30	72	1	0.708	0	1	0	
screen	KYIAWOXNPBANEW-UHFFFAOYSA-N	CC(O)CN(C)c1ccc(NN)nn1	chembl_phase2	CHEMBL2107172	CC BY-SA 3.0	2026-09-25	197.24	-0.421	3	6	87.3	4	14	29	1	0.5	0	0	0	
screen	AEFFENQISAXIKE-UHFFFAOYSA-N	CC1=Nc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc2C12CCCC2	chembl_phase2	CHEMBL4277900	CC BY-SA 3.0	2026-09-25	488.59	6.287	1	6	66.3	4	36	66	6	0.429	0	1	0	
screen	UQZVCDCIMBLVNR-TWYODKAFSA-N	CS(=O)(=O)NC(=O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1	chembl_phase2	CHEMBL1472830	CC BY-SA 3.0	2026-09-25	465.57	1.741	3	7	130.0	12	32	63	2	0.478	0	0	0	
screen	WFWLQNSHRPWKFK-UHFFFAOYSA-N	O=c1[nH]c(=O)n(C2CCCO2)cc1F	chembl_approved	CHEMBL20883	CC BY-SA 3.0	2026-09-25	200.17	-0.015	1	3	64.09	1	14	23	2	0.5	0	0	1	
screen	IDKAKZRYYDCJDU-HBMMIIHUSA-N	CC(C)(C)C[C@@H]1N[C@@H](C(=O)N[C@H]2CC[C@H](O)CC2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12	chembl_phase1	CHEMBL2381408	CC BY-SA 3.0	2026-09-25	562.51	5.303	4	4	90.46	4	38	72	5	0.517	0	2	0	
screen	OCJRRXHWPBXZSU-BNCZGPJRSA-N	CCOC(=O)[C@H](C)N[P@](=O)(CO[C@@H]1C=C(F)[C@H](n2cnc3c(N)ncnc32)O1)Oc1ccccc1	chembl_phase1	CHEMBL4594289	CC BY-SA 3.0	2026-09-25	506.43	2.904	2	10	152.71	10	35	59	4	0.333	0	1	0	chembl_phase2:CHEMBL4594257
screen	OBUIQEYZGMZXPJ-NPQHDNJNSA-N	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C	chembl_phase2	CHEMBL3138624	CC BY-SA 3.0	2026-09-25	565.75	3.459	2	9	122.6	6	40	91	2	0.774	0	1	0	
screen	UQLLWWBDSUHNEB-CZUORRHYSA-N	CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1	chembl_approved	CHEMBL1599	CC BY-SA 3.0	2026-09-25	423.47	0.475	2	8	125.9	7	28	45	3	0.353	0	0	0	
