inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
FYXWDSGGZAMYFZ-UHFFFAOYSA-N	CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21	chembl_approved	CHEMBL421701	CC BY-SA 3.0	2026-09-25	391.59	6.252	0	3	7.12	5	27	50	4	0.174	0	1	0	chembl_approved:CHEMBL1185568
FZCHYNWYXKICIO-FZNHGJLXSA-N	CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	chembl_approved	CHEMBL1200562	CC BY-SA 3.0	2026-09-25	446.58	3.523	2	6	100.9	6	32	70	4	0.808	0	0	0	
FZCJXUUQHFQHMC-UHFFFAOYSA-N	COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1	chembl_approved	CHEMBL2107253	CC BY-SA 3.0	2026-09-25	309.33	1.47	1	7	118.5	5	21	34	2	0.167	0	0	0	
FZERHIULMFGESH-UHFFFAOYSA-N	CC(=O)Nc1ccccc1	chembl_approved	CHEMBL269644	CC BY-SA 3.0	2026-09-25	135.17	1.645	1	1	29.1	1	10	19	1	0.125	0	0	1	
FZGVEKPRDOIXJY-UHFFFAOYSA-N	Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1	chembl_approved	CHEMBL1200405	CC BY-SA 3.0	2026-09-25	461.56	5.163	2	6	84.86	7	34	65	3	0.286	0	1	0	chembl_approved:CHEMBL1201295
FZNCGRZWXLXZSZ-CIQUZCHMSA-N	OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O	chembl_approved	CHEMBL476960	CC BY-SA 3.0	2026-09-25	267.28	-4.492	8	8	153.64	5	18	39	1	1.0	0	1	0	
GAGWJHPBXLXJQN-UORFTKCHSA-N	CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F	chembl_approved	CHEMBL1773	CC BY-SA 3.0	2026-09-25	359.35	0.76	3	7	122.91	6	25	47	2	0.667	0	0	0	
GAKMQHDJQHZUTJ-ULHLPKEOSA-N	C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO	chembl_approved	CHEMBL251634	CC BY-SA 3.0	2026-09-25	376.47	2.637	2	4	74.6	2	27	56	4	0.727	0	0	0	
GAOZTHIDHYLHMS-GDMSFIFLSA-M	CC[C@@]1([C@H]2O[C@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@H]2C)CC[C@H]([C@@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@H](C)[C@H](OC)[C@@H](C)C(=O)[O-])O3)O2)O1	chembl_approved	CHEMBL5314365	CC BY-SA 3.0	2026-09-25	669.87	2.938	3	11	156.2	10	47	108	5	0.972	0	2	0	
GAOZTHIDHYLHMS-KEOBGNEYSA-N	CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1	chembl_approved	CHEMBL256105	CC BY-SA 3.0	2026-09-25	670.88	4.273	4	10	153.37	10	47	109	5	0.972	0	1	0	
GBABOYUKABKIAF-IELIFDKJSA-N	CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2	chembl_approved	CHEMBL553025	CC BY-SA 3.0	2026-09-25	778.95	4.754	2	11	133.87	7	57	111	9	0.533	0	2	0	chembl_approved:CHEMBL538943
GBBSUAFBMRNDJC-INIZCTEOSA-N	CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1	chembl_approved	CHEMBL1522	CC BY-SA 3.0	2026-09-25	388.82	1.568	0	7	91.76	2	27	44	4	0.353	0	0	0	
GBBSUAFBMRNDJC-UHFFFAOYSA-N	CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1	chembl_approved	CHEMBL135400	CC BY-SA 3.0	2026-09-25	388.82	1.568	0	7	91.76	2	27	44	4	0.353	0	0	0	
GBLBJPZSROAGMF-RWYJCYHVSA-N	CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1	chembl_approved	CHEMBL4582651	CC BY-SA 3.0	2026-09-25	533.61	4.2	3	8	135.53	8	39	71	5	0.407	0	1	0	
GBXSMTUPTTWBMN-XIRDDKMYSA-N	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	chembl_approved	CHEMBL578	CC BY-SA 3.0	2026-09-25	376.45	1.605	2	5	95.94	9	27	55	2	0.55	0	0	0	chembl_approved:CHEMBL1200659
GCFBRXLSHGKWDP-XCGNWRKASA-M	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O	chembl_approved	CHEMBL1200482	CC BY-SA 3.0	2026-09-25	644.67	-2.447	3	13	223.09	9	44	70	5	0.4	0	2	0	
